	Apa citation
1	Abdelsamad, C., Samir, T., Aziz, S., & Jamila, E. (2021). Artificial neural network based meta-heuristic for performance improvement in physical internet supply chain network. Indonesian Journal of Electrical Engineering and Computer Science, 24(2), 1161-1172.
2	Agnusdei, G. P., Gnoni, M. G., Sgarbossa, F., & Govindann, K. (2022). Challenges and perspectives of the Industry 4.0 technologies within the last-mile and first-mile reverse logistics: A systematic literature review. Research in Transportation Business & Management, 45, 100896.
3	Alidaee, B., Wang, H., & Sua, L. S. (2023). The Last-Mile Delivery of Heavy, Bulky, Oversized Products: Literature Review and Research Agenda. Logistics, 7(4), 98.
4	Ancele, Y. (2019). Routing algorithms for optimisation of transportation systems. Liverpool John Moores University (United Kingdom).
5	Ancele, Y., Hà, M. H., Lersteau, C., Matellini, D. B., & Nguyen, T. T. (2021). Toward a more flexible VRP with pickup and delivery allowing consolidations. Transportation Research Part C: Emerging Technologies, 128, 103077.
6	Aron, C., & Sgarbossa, F. (2023). The Physical Internet as an Approach for Resilient Logistics Practices: Literature Review and Future Research Avenues. IFAC-PapersOnLine, 56(2), 11068-11075.
7	Aron, C., Sgarbossa, F., Ballot, E., & Ivanov, D. (2023). Cloud material handling systems: a cyber-physical system to enable dynamic resource allocation and digital interoperability. Journal of Intelligent Manufacturing, 1-22.
8	Bai, Y., He, P., Zhao, Y., Ma, S., Mi, H., Wei, Z., & Li, Z. (2020). Real-time online detection of trucks loading via genetic neural network. Automation in Construction, 120, 103354.
9	Ban, S. (2023). Assessing the potential of the physical Internet for city logistics activities in developing countries (Doctoral dissertation, Ecole des Mines d'Albi-Carmaux; Institut de technologie du Cambodge (Phnom Penh; 1964-....)).
10	Barata, J. (2021). The fourth industrial revolution of supply chains: A tertiary study. Journal of Engineering and Technology Management, 60, 101624.
11	Barykin, S. E., Strimovskaya, A. V., Sergeev, S. M., Borisoglebskaya, L. N., Dedyukhina, N., Sklyarov, I., ... & Saychenko, L. (2023). Smart city logistics on the basis of digital tools for ESG goals achievement. Sustainability, 15(6), 5507.
12	Bekrar, A., Ait El Cadi, A., Todosijevic, R., & Sarkis, J. (2021). Digitalizing the closing-of-the-loop for supply chains: A transportation and blockchain perspective. Sustainability, 13(5), 2895.
13	Bélanger, M. J., Pellerin, R., & Lamouri, S. (2023). A literature review on digital twins in warehouses. Procedia Computer Science, 219, 370-377.
14	Bidoni, Z. B., & Montreuil, B. (2021). Predictive Demand Modeling for New Services in Hyperconnected Urban Parcel Logistics.
15	Bouab, I., Petitdemange, E., Lorca, X., & Tavasszy, L. Using the Physical Internet paradigm to strengthen rural transport networks.
16	Chadha, S. S., Ülkü, M. A., & Venkatadri, U. (2022). Freight delivery in a Physical Internet Supply Chain: an applied optimisation model with peddling and shipment consolidation. International Journal of Production Research, 60(16), 4995-5011.
17	Chargui, T., Ladier, A. L., Bekrar, A., Pan, S., & Trentesaux, D. (2022). Towards designing and operating physical internet cross-docks: Problem specifications and research perspectives. Omega, 111, 102641.
18	Che, Z. H., Chiang, T. A., & Luo, Y. J. (2022). Multiobjective optimization for planning the service areas of smart parcel locker facilities in logistics last mile delivery. Mathematics, 10(3), 422.
19	Chen, S., Su, L., & Cheng, X. (2021). Physical Internet deployment in industry: literature review and research opportunities. Industrial Management & Data Systems, 122(6), 1522-1540.
